;Absolute path;Relative path;Class
0;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0000.jpg;dataset\tiger\0000.jpg;tiger
1;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0001.jpg;dataset\tiger\0001.jpg;tiger
2;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0002.jpg;dataset\tiger\0002.jpg;tiger
3;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0003.jpg;dataset\tiger\0003.jpg;tiger
4;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0004.jpg;dataset\tiger\0004.jpg;tiger
5;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0005.jpg;dataset\tiger\0005.jpg;tiger
6;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0006.jpg;dataset\tiger\0006.jpg;tiger
7;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0007.jpg;dataset\tiger\0007.jpg;tiger
8;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0008.jpg;dataset\tiger\0008.jpg;tiger
9;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0009.jpg;dataset\tiger\0009.jpg;tiger
10;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0010.jpg;dataset\tiger\0010.jpg;tiger
11;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0011.jpg;dataset\tiger\0011.jpg;tiger
12;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0012.jpg;dataset\tiger\0012.jpg;tiger
13;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0013.jpg;dataset\tiger\0013.jpg;tiger
14;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0014.jpg;dataset\tiger\0014.jpg;tiger
15;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0015.jpg;dataset\tiger\0015.jpg;tiger
16;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0016.jpg;dataset\tiger\0016.jpg;tiger
17;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0017.jpg;dataset\tiger\0017.jpg;tiger
18;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\dataset\tiger\0018.jpg;dataset\tiger\0018.jpg;tiger
